Part,Qty,Price (USD),Link
"SpeedyBee F405 Mini BLS 35A 20×20 Stack",1,60.00,https://www.speedybee.com/speedybee-f405-mini-bls-35a-20x20-stack
20 mm Aluminum Standoffs (pack),1,1.86,https://pt.aliexpress.com/item/1005007945167923.html
"HQProp 3525 Prop Set",1,3.31,https://pt.aliexpress.com/item/1005008744409414.html
"CADDX ANT Camera",1,13.98,https://pt.aliexpress.com/item/1005006086694992.html
"BETAFPV ELRS Nano Receiver",1,11.47,https://pt.aliexpress.com/item/1005007437882037.html
"YSIDO 1505 2650KV Brushless Motor Set",1,29.11,https://pt.aliexpress.com/item/1005007544080274.html
"HGLRC Zeus Nano VTX",1,22.96,https://pt.aliexpress.com/item/1005008043478143.html
"Mini RHCP 5.8 GHz Lollipop Antenna (UFL)",1,5.34,https://pt.aliexpress.com/item/4001365632031.html
Total,,148.03,
